"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","euch_dist","cos_similarity","spearman","y"
"1",0.00282485875706215,0.0282485875706215,0.0169491525423729,0.00282485875706215,0.00282485875706215,0.0112994350282486,0,0.00282485875706215,0.00282485875706215,0.0112994350282486,0.0225988700564972,0.0112994350282486,0.00282485875706215,0.00282485875706215,0.0225988700564972,0.0056497175141243,0.00282485875706215,0.00282485875706215,0.00847457627118644,0.00282485875706215,0.0169491525423729,0.0141242937853107,0,0.00282485875706215,0.00282485875706215,0.00282485875706215,0.00847457627118644,0.0169491525423729,0.00847457627118644,0,0.00282485875706215,0.0423728813559322,0.0169491525423729,0,0.0141242937853107,0.00564971751412429,0.00564971751412429,0.00847457627118644,0.00847457627118644,0.0112994350282486,0.078995092961071,0.929195317755764,0.839834093128152,"s"
"2",0.00831024930747922,0.0329123433025025,0.0294849523451805,0.00852935192575551,0.00488285835015728,0.002715307447924,0.00581404447783151,0.00597837144153873,0.00342739095732194,0.0141790694398798,0.0275912797157926,0.0273721770975163,0.000492980891121649,5.47756545690721e-05,0.0130835563484984,0.0104230245551434,0.002715307447924,0.00570449316869337,0.0117924159193702,5.47756545690721e-05,0.0193358060628825,0.00625224971438409,0.002715307447924,0.00277008310249307,0.00863890323489366,0.0113542106828177,0.0285224658434668,0.0226536457110662,0.00115028874595052,0.00266053179335493,0.00776249276178851,0.0272313254143387,0.0171134795060801,0.00392037184844359,0.0105873515188507,0.00287963441163122,0.00381082053930544,0.000328653927414432,0.00918665978058437,0.00625224971438409,0.0878221285294669,0.915020348312016,0.744882471603243,"s"
"21",0.00548539055041708,0.004663755731881,0.0125357998028076,0.00570449316869337,0.00770771710721943,0.00858412758032458,0.00581404447783151,0.00315351268447658,0.00625224971438409,0.00287963441163122,0.00499240965929543,0.0160727420692677,0.0023318778659405,0.00287963441163122,0.00951531370799882,0.00477330704101914,0.000109551309138144,0.00287963441163122,0.00331783964818379,0.00287963441163122,0.00238665352050957,0.00787204407092665,0.002715307447924,5.47756545690721e-05,0.00581404447783151,0.00852935192575551,0.0200478895722804,0.00570449316869337,0.00732428752523592,0.00266053179335493,0.0105873515188507,0.0151415559415935,0.000164326963707216,0.00392037184844359,0.00353694226646008,0.00277008310249307,0.00183889697481885,0.00814592234377201,0.000712083509397936,0.0175516847426327,0.0483290115751942,0.974051273114628,0.905657739224006,"s"
"4",0.00266578949171824,0.0156246787689398,0.00272061292599522,0.00530416726629798,0.0186057030077507,0,0.010389040795488,0.010443864229765,0.00548234342769817,2.74117171384907e-05,4.11175757077369e-05,0.00529046140772873,0.00256984848173352,0.00530416726629798,0.00281655393597993,0.0050985793877593,0.00261096605744125,6.85292928462276e-05,0.00508487352919005,0.00269320120885673,0.00270690706742597,0.0154876201832473,0.00520822625631326,1.37058585692454e-05,0.0182493506849503,0.00773695716233904,0.00553716686197515,0.0157891490717707,0.0106631579668729,0.00255614262316427,0.00028782302995415,0.00571534302337534,0.0103753349369188,0.0128903599843753,0.0133015357414527,0.00515340282203628,0.0024739074717488,0.00552346100340591,0.0264523070386437,0.00505746181205156,0.0579308792926137,0.961357360286198,0.866196102637237,"s"
"6",0.0129308255368656,8.48320325754978e-05,0.049972126617868,0.0188266518008629,0.0180328663531921,0.00607154976004654,0.000878617480246256,0.0080045082165883,0.0160090164331766,0,0.0080045082165883,0.00809539968006205,0.0132822725289641,0.00695016724029279,0.0231409666004169,0.0079196761840128,0.000351446992098501,0.0107312521208008,0.0108221435842746,0.00219957341606476,0.0255102040816327,0.0394165979931165,0,0.00237529691211401,0.00695016724029279,0.000793785447670753,0.0515475786514131,0.000175723496049251,0.04037398807504,0.0228743516408939,0.000527170488147753,0.0476877211692278,0.0205838867613554,0.0179359154588201,0.00439308740123128,0.0127551020408163,0.00633210528867129,0.0104646371612778,0.0165361869213244,0.0413495564496583,0.131514102629512,0.846209514361018,0.636355176135773,"s"
"61",0.00237529691211401,0.00437945368171021,0.0494815457701443,0.0213776722090261,2.85492417321396e-05,0.0117622875936415,0.00466494609903161,5.70984834642792e-05,0.00972958158231317,0,0.0144801754065412,0.00206125525306048,0.00489334003288873,0.0070973414946099,0.000799378768499906,0.0123903709117486,0.00234674767038187,0.0169125708021195,0.0165128814178695,5.70984834642792e-05,0.00240384615384615,0.0542321395943724,0.00240384615384615,0.00237529691211401,0.000114196966928558,0.0123047231865522,0.0265279554175041,2.85492417321396e-05,0.0243810524392472,0.0212063767586333,0.00970103234058103,0.00103348255070346,0.0120477800109629,0.0589484743285218,0.0113054997259273,0.00480769230769231,0.00500753699981728,0.0196875570984835,0.00981522930750959,0.0353154120226567,0.121126574947369,0.883737880247152,0.793386502562419,"s"
"7",0.0153061224489796,0.00446428571428571,0.000490580847723701,0.00255102040816327,0.01800431711146,0.00569073783359498,0.00554356357927786,0.00794740973312402,0.00627943485086342,0,0.00647566718995291,0.00603414442700157,0.00838893249607535,0.000147174254317111,0.0239403453689168,0.0203100470957614,0.00269819466248038,0.00618131868131868,0.00569073783359498,0.00225667189952904,0.0231063579277865,0.0148155416012559,0.00240384615384615,0,0.00706436420722135,0.0130985086342229,0.025019623233909,0.000147174254317111,0.0159929356357928,0.0016679748822606,0.00917386185243328,0.0466542386185243,0.00853610675039247,0.0410125588697017,0.0156985871271586,0.00794740973312402,0.001324568288854,0.00922291993720566,0.00672095761381476,0.00603414442700157,0.0912527323618011,0.936680224805179,0.838855908006909,"s"
"9",0.00568039950062422,0.00302746566791511,0.000405742821473161,0.00564918851435705,0.000249687890137327,0.0138576779026217,0.00259051186017478,0.0169787765293383,0.0134831460674157,0.00271535580524345,0.00299625468164794,0.0114856429463171,6.24219725343317e-05,0.00287141073657928,0.00249687890137328,0.00252808988764045,0.00555555555555556,0.00277777777777778,0.0136392009987516,9.3632958801498e-05,0.0110486891385768,0.0309925093632959,0.00277777777777778,9.3632958801498e-05,0.00274656679151061,0.00805243445692884,0.00543071161048689,0.00268414481897628,0.0136079900124844,0.00290262172284644,0.0106429463171036,0.0375468164794008,0.000187265917602996,0.00608614232209738,0.000780274656679153,0.0115792759051186,0.0109238451935081,0.00490012484394507,0.00230961298377029,0.00490012484394507,0.0663073271395043,0.953564861565902,0.859246139100502,"s"
"91",0.011489898989899,0.0109217171717172,0.0162247474747475,0.0114267676767677,0.00517676767676768,0.0109848484848485,0.00808080808080808,0.0400252525252525,0.00738636363636364,0.000189393939393939,0.00606060606060606,0.017550505050505,0.00580808080808081,0.00555555555555556,0.0192550505050505,0.00227272727272727,0.000126262626262626,0.0171085858585859,0.00486111111111111,0.00303030303030303,0.0109848484848485,0.0172348484848485,0.00277777777777778,0.00833333333333333,0.00555555555555556,0.00208333333333333,0.0145833333333333,0.00593434343434343,0.0133207070707071,0.00265151515151515,0.00119949494949495,0.0276515151515152,0.0174242424242424,0.00378787878787879,0.0381944444444444,0.00214646464646465,0.0107323232323232,0.0071338383838384,0.00751262626262626,0.0127525252525252,0.0867196314870895,0.914965752130762,0.713605314347448,"s"
"10",0.00580949948927477,0.0139491828396323,0.0166304902962206,0.00577757916241062,0.00542645556690501,0.00287282941777324,0.0054902962206333,0.0230464759959142,0.00609678243105209,0.00290474974463738,0.00306435137895812,0.00606486210418795,0.00574565883554648,0.00842696629213483,0.0167581716036772,0.000255362614913178,0.00568181818181818,0.0198863636363636,0.00877808988764045,0.00293667007150153,6.38406537282945e-05,0.0137576608784474,0,0.00842696629213483,0.00280898876404494,0.00596910112359551,0.0200140449438202,0.00861848825331971,0.000287282941777326,0.00555413687436159,0.0118424412665986,0.0098953013278856,0.0172369765066394,0.00229826353421859,0.0389747191011236,0.0137257405515832,0.000191521961184882,0.0120339632277835,0.00520301327885597,0.00785240040858018,0.0736108206865082,0.942659037002737,0.80943852138116,"s"
